redpanda_metric_name,datadog_metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
redpanda_iceberg_translation_raw_bytes_processed,redpanda.iceberg.translation_raw_bytes_processed,count,,,,"Number of raw, potentially compressed bytes, consumed for processing that may or may not succeed in being processed. For example, if Redpanda fails to communicate with the coordinator preventing processing of a batch, this metric still increases.",,redpanda,,
redpanda_iceberg_translation_translations_finished,redpanda.iceberg.translation_translations_finished,count,,,,Number of finished translator executions.,,redpanda,,
redpanda_io_queue_total_read_ops,redpanda.io_queue.total_read_ops,count,,operation,,Cumulative count of read operations processed by the I/O queue.,-1,redpanda,io queue total read ops ,
redpanda_io_queue_total_write_ops,redpanda.io_queue.total_write_ops,count,,operation,,Cumulative count of write operations processed by the I/O queue.,-1,redpanda,io queue total write ops ,
redpanda_kafka_consumer_group_committed_offset,redpanda.kafka.group_offset,gauge,,,,Consumer group committed offset,-1,redpanda,kafka group offset ,
redpanda_kafka_consumer_group_consumers,redpanda.kafka.group_count,gauge,,,,Number of consumers in a group,-1,redpanda,kafka group count ,
redpanda_kafka_consumer_group_lag_max,redpanda.kafka.group_lag_max,gauge,,,,Maximum lag for any partition in the group,-1,redpanda,kafka group lag max ,
redpanda_kafka_consumer_group_lag_sum,redpanda.kafka.group_lag_sum,gauge,,,,Sum of lag for all partitions in the group,-1,redpanda,kafka group lag sum ,
redpanda_kafka_consumer_group_topics,redpanda.kafka.group_topic_count,gauge,,,,Number of topics in a group,-1,redpanda,kafka group topic count ,
redpanda_kafka_handler_latency_seconds,redpanda.kafka.handler_latency_seconds,histogram,,,,Histogram capturing the latency for processing Kafka requests at the broker level.,,redpanda,,
redpanda_kafka_max_offset,redpanda.kafka.partition_committed_offset,gauge,,,,Latest committed offset for the partition (i.e. the offset of the last message safely persisted on most replicas).,-1,redpanda,kafka partition committed offset,
redpanda_kafka_partitions,redpanda.kafka.partitions,gauge,,,,Configured number of partitions for the topic,-1,redpanda,kafka partitions,
redpanda_kafka_quotas_client_quota_throttle_time,redpanda.kafka.quotas_client_quota_throttle_time,histogram,,,,Histogram of client quota throttling delays (in seconds) per quota rule and type.,,redpanda,,
redpanda_kafka_quotas_client_quota_throughput,redpanda.kafka.quotas_client_quota_throughput,histogram,,,,Histogram of client quota throughput per quota rule and type.,,redpanda,,
redpanda_kafka_records_fetched_total,redpanda.kafka.records_fetched,count,,,,Total number of records fetched from a topic,-1,redpanda,kafka records fetched,
redpanda_kafka_records_produced_total,redpanda.kafka.records_produced,count,,,,Total number of records produced to a topic,-1,redpanda,kafka records produced,
redpanda_kafka_replicas,redpanda.kafka.replicas,gauge,,,,Configured number of replicas for the topic,-1,redpanda,kafka replicas,
redpanda_kafka_request_bytes_total,redpanda.kafka.request_bytes,count,,byte,,Total number of bytes produced per topic,-1,redpanda,kafka request bytes,
redpanda_kafka_request_latency_seconds,redpanda.kafka.request_latency_seconds,histogram,,second,,Internal latency of kafka produce requests,-1,redpanda,kafka request latency seconds ,
redpanda_kafka_rpc_sasl_session_expiration_total,redpanda.kafka.rpc_sasl_session_expiration,count,,,,Total number of SASL session expirations observed.,-1,redpanda,,
redpanda_kafka_rpc_sasl_session_reauth_attempts_total,redpanda.kafka.rpc_sasl_session_reauth_attempts,count,,,,Total number of SASL reauthentication attempts made by clients.,-1,redpanda,,
redpanda_kafka_rpc_sasl_session_revoked_total,redpanda.kafka.rpc_sasl_session_revoked,count,,,,Total number of SASL sessions that have been revoked.,-1,redpanda,,
redpanda_kafka_under_replicated_replicas,redpanda.kafka.under_replicated_replicas,gauge,,,,"Number of under replicated replicas (i.e. replicas that are live, but not at the latest offest)",-1,redpanda,kafka under replicated replicas ,
redpanda_memory_allocated_memory,redpanda.memory.allocated_memory,gauge,,byte,,Allocated memory size in bytes,-1,redpanda,memory allocated memory ,
redpanda_memory_available_memory,redpanda.memory.available_memory,gauge,,byte,,Total shard memory potentially available in bytes (free_memory plus reclaimable),-1,redpanda,memory available memory ,
